trade_id,trade_id_type,trade_version,product_type,currency,option_type,notional,trade_date,strike,expiry_date,maturity_date,counterparty_id,expiry_tenor,maturity_tenor,ifrs13_level,Day1_Pnl
HACKTRD0701,HackTradeID,2,IR Swaption,USD,Receiver,91400000,2024-09-10,1.68,2029-04-25,2034-07-14,CPTY3296,2,20,Level 3,No
HACKTRD0440,HackTradeID,1,IR Swaption,USD,Receiver,5200000,2024-06-16,2.36,2026-07-26,2053-11-15,CPTY8010,3,20,Level 3,No
HACKTRD0603,HackTradeID,3,IR Swaption,USD,Payer,25500000,2024-01-04,3.43,2025-03-15,2053-02-01,CPTY8468,3,5,Level 3,No
HACKTRD0591,HackTradeID,2,IR Swaption,USD,Receiver,48500000,2023-10-03,3.57,2027-10-31,2055-02-11,CPTY9275,3,30,Level 3,Yes
HACKTRD0542,HackTradeID,2,IR Swaption,USD,Payer,69800000,2024-10-27,3.18,2030-02-18,2054-08-08,CPTY6307,3,5,Level 3,No
HACKTRD0118,HackTradeID,1,IR Swaption,USD,Payer,85800000,2023-08-02,0.73,2026-05-16,2049-12-11,CPTY7905,5,10,Level 3,No
HACKTRD0323,HackTradeID,2,IR Swaption,USD,Receiver,19600000,2024-04-04,0.6,2029-08-03,2047-02-24,CPTY4876,5,5,Level 3,No
HACKTRD0237,HackTradeID,1,IR Swaption,USD,Payer,85900000,2024-02-20,0.97,2027-02-22,2036-10-14,CPTY1988,5,20,Level 3,No
HACKTRD0078,HackTradeID,2,IR Swaption,USD,Payer,69400000,2024-02-07,1.97,2028-02-04,2038-09-13,CPTY2069,1,5,Level 3,No
HACKTRD0547,HackTradeID,3,IR Swaption,USD,Payer,38600000,2024-04-18,3.0,2028-04-28,2043-10-01,CPTY8470,3,5,Level 3,Yes
HACKTRD0591,HackTradeID,2,IR Swaption,USD,Receiver,26800000,2025-03-06,1.09,2030-04-30,2054-11-23,CPTY2518,2,30,Level 3,No
HACKTRD0610,HackTradeID,1,IR Swaption,USD,Receiver,84300000,2023-12-26,2.95,2026-12-20,2044-12-03,CPTY7593,3,15,Level 3,No
HACKTRD0968,HackTradeID,3,IR Swaption,GBP,Receiver,71400000,2023-07-06,4.99,2026-04-30,2055-03-15,CPTY2101,3,30,Level 3,Yes
HACKTRD0944,HackTradeID,4,IR Swaption,GBP,Payer,35800000,2024-02-03,4.0,2028-02-05,2054-04-27,CPTY3944,1,10,Level 3,No
HACKTRD1000,HackTradeID,1,IR Swaption,GBP,Receiver,29300000,2024-02-09,4.71,2024-10-19,2051-01-24,CPTY1600,1,5,Level 3,Yes
HACKTRD0258,HackTradeID,2,IR Swaption,USD,Receiver,74900000,2023-12-11,1.66,2028-07-31,2030-09-13,CPTY8561,3,15,Level 3,No
HACKTRD0804,HackTradeID,3,IR Swaption,USD,Receiver,79200000,2023-07-08,1.75,2026-05-26,2053-12-19,CPTY1924,3,10,Level 3,No
HACKTRD0899,HackTradeID,4,IR Swaption,GBP,Receiver,25800000,2023-09-29,4.64,2026-04-04,2044-02-09,CPTY8853,5,15,Level 3,Yes
HACKTRD0215,HackTradeID,3,IR Swaption,USD,Receiver,40500000,2023-11-02,3.7,2026-05-28,2029-07-19,CPTY2762,5,15,Level 2,No
HACKTRD0997,HackTradeID,3,IR Swaption,JPY,Receiver,18400000,2024-08-17,4.25,2027-05-18,2052-12-25,CPTY7875,3,20,Level 3,Yes
HACKTRD0876,HackTradeID,4,IR Swaption,JPY,Payer,40100000,2025-02-07,3.94,2026-09-24,2055-04-13,CPTY6593,1,20,Level 3,Yes
HACKTRD0183,HackTradeID,4,IR Swaption,USD,Receiver,89200000,2023-12-11,1.18,2030-02-09,2034-07-21,CPTY2761,2,10,Level 3,No
HACKTRD0835,HackTradeID,3,IR Swaption,USD,Payer,26000000,2023-09-09,3.15,2028-07-05,2055-02-24,CPTY3841,2,10,Level 3,No
HACKTRD0791,HackTradeID,3,IR Swaption,USD,Payer,70200000,2024-04-14,4.34,2028-10-05,2048-06-29,CPTY9634,3,5,Level 3,No
HACKTRD0296,HackTradeID,2,IR Swaption,USD,Receiver,13900000,2024-05-20,3.01,2028-01-10,2028-06-21,CPTY4198,2,15,Level 2,No
HACKTRD0648,HackTradeID,1,IR Swaption,USD,Receiver,29100000,2024-10-06,2.79,2028-10-08,2039-05-06,CPTY6126,2,10,Level 3,No
HACKTRD0130,HackTradeID,1,IR Swaption,USD,Payer,83900000,2024-01-16,0.54,2026-06-18,2032-01-15,CPTY2252,2,10,Level 3,No
HACKTRD0804,HackTradeID,2,IR Swaption,USD,Receiver,70100000,2024-10-25,1.9,2028-01-16,2042-01-11,CPTY8189,5,20,Level 3,No
HACKTRD0888,HackTradeID,3,IR Swaption,USD,Payer,46700000,2025-02-21,2.3,2026-08-03,2052-12-30,CPTY4443,2,20,Level 3,No
HACKTRD0953,HackTradeID,3,IR Swaption,EUR,Payer,95500000,2023-11-07,2.12,2028-03-18,2029-01-16,CPTY4555,3,20,Level 3,No
HACKTRD0625,HackTradeID,1,IR Swaption,USD,Payer,27500000,2023-11-19,1.33,2029-01-31,2049-06-08,CPTY5009,3,20,Level 3,No
HACKTRD0624,HackTradeID,1,IR Swaption,USD,Payer,62400000,2023-09-08,1.03,2025-07-03,2053-04-07,CPTY1631,5,5,Level 3,No
HACKTRD0528,HackTradeID,3,IR Swaption,USD,Receiver,29500000,2023-11-07,4.55,2026-09-26,2051-02-05,CPTY3408,5,10,Level 3,Yes
HACKTRD0236,HackTradeID,4,IR Swaption,USD,Receiver,1300000,2024-04-21,0.65,2026-06-30,2029-05-13,CPTY7238,5,20,Level 3,No
HACKTRD0591,HackTradeID,1,IR Swaption,USD,Receiver,7400000,2024-09-29,3.64,2029-03-19,2036-11-20,CPTY7953,3,10,Level 2,No
HACKTRD0232,HackTradeID,1,IR Swaption,USD,Payer,46500000,2024-05-07,1.62,2027-09-09,2048-02-14,CPTY2908,1,20,Level 3,No
HACKTRD0970,HackTradeID,4,IR Swaption,GBP,Receiver,20400000,2023-08-06,3.97,2026-07-28,2044-09-08,CPTY7093,5,30,Level 2,No
HACKTRD0226,HackTradeID,4,IR Swaption,USD,Receiver,31500000,2024-12-02,1.88,2025-07-26,2054-05-20,CPTY8190,3,5,Level 3,No
HACKTRD0180,HackTradeID,4,IR Swaption,USD,Payer,91500000,2025-03-20,0.77,2028-01-29,2028-06-09,CPTY6031,2,15,Level 2,No
HACKTRD0533,HackTradeID,2,IR Swaption,USD,Payer,89400000,2023-08-03,1.87,2025-12-21,2028-06-14,CPTY6574,3,10,Level 2,No
HACKTRD0737,HackTradeID,2,IR Swaption,GBP,Receiver,33100000,2023-09-07,1.22,2025-08-12,2050-07-03,CPTY3606,3,30,Level 3,No
HACKTRD0014,HackTradeID,3,IR Swaption,USD,Receiver,88500000,2023-08-14,0.69,2025-11-16,2045-04-14,CPTY6535,2,5,Level 2,No
HACKTRD0660,HackTradeID,1,IR Swaption,USD,Receiver,93600000,2023-12-19,0.76,2026-12-03,2037-06-09,CPTY2996,5,30,Level 2,No
HACKTRD0071,HackTradeID,1,IR Swaption,USD,Receiver,17700000,2024-06-16,2.01,2028-09-05,2054-01-24,CPTY1980,2,5,Level 3,No
HACKTRD0491,HackTradeID,1,IR Swaption,USD,Payer,49400000,2024-12-27,1.16,2029-06-30,2047-04-21,CPTY3007,2,10,Level 3,Yes
HACKTRD0547,HackTradeID,3,IR Swaption,USD,Payer,12200000,2025-02-03,2.92,2029-10-31,2050-03-16,CPTY2846,2,20,Level 3,No
HACKTRD0790,HackTradeID,2,IR Swaption,USD,Payer,85100000,2024-02-11,1.92,2026-08-03,2049-01-11,CPTY1178,2,20,Level 3,No
HACKTRD0365,HackTradeID,2,IR Swaption,USD,Payer,41000000,2024-08-27,2.34,2029-08-12,2044-04-30,CPTY9648,5,15,Level 3,No
HACKTRD0825,HackTradeID,1,IR Swaption,USD,Receiver,36300000,2023-07-02,4.03,2024-12-25,2044-05-01,CPTY2184,5,30,Level 3,Yes
HACKTRD0636,HackTradeID,1,IR Swaption,USD,Receiver,31700000,2024-04-20,2.84,2028-04-15,2028-09-12,CPTY9397,2,15,Level 3,No
HACKTRD0272,HackTradeID,1,IR Swaption,USD,Receiver,83200000,2023-08-09,4.46,2027-04-07,2051-01-30,CPTY1571,3,30,Level 3,Yes
HACKTRD0474,HackTradeID,3,IR Swaption,USD,Receiver,6300000,2024-10-28,3.17,2027-10-20,2031-09-17,CPTY6445,5,10,Level 2,No
HACKTRD0327,HackTradeID,2,IR Swaption,USD,Payer,39000000,2024-11-24,1.37,2029-03-17,2037-09-08,CPTY1695,5,30,Level 2,No
HACKTRD0940,HackTradeID,3,IR Swaption,GBP,Payer,53800000,2024-12-06,3.67,2028-02-19,2028-07-11,CPTY6360,3,15,Level 3,Yes
HACKTRD0461,HackTradeID,3,IR Swaption,USD,Payer,29000000,2024-09-15,1.57,2029-04-22,2047-11-01,CPTY3010,3,30,Level 3,No
HACKTRD0410,HackTradeID,2,IR Swaption,EUR,Payer,17700000,2024-10-13,3.07,2028-08-21,2047-11-19,CPTY2700,5,5,Level 3,Yes
HACKTRD0545,HackTradeID,4,IR Swaption,EUR,Receiver,41500000,2023-12-31,1.45,2027-01-21,2048-06-06,CPTY2936,5,20,Level 3,No
HACKTRD0333,HackTradeID,4,IR Swaption,USD,Payer,98300000,2024-03-10,2.29,2025-03-11,2039-09-25,CPTY6299,2,10,Level 3,No
HACKTRD0242,HackTradeID,2,IR Swaption,USD,Receiver,72000000,2024-03-13,0.78,2028-02-14,2042-05-26,CPTY5263,2,30,Level 3,No
HACKTRD0191,HackTradeID,1,IR Swaption,USD,Receiver,37500000,2024-11-07,0.73,2028-10-16,2030-10-30,CPTY6348,5,20,Level 2,No
HACKTRD0445,HackTradeID,4,IR Swaption,USD,Receiver,24500000,2024-03-01,2.68,2027-07-18,2041-11-05,CPTY7852,2,30,Level 3,No
HACKTRD0665,HackTradeID,3,IR Swaption,USD,Payer,75800000,2025-02-05,0.9,2030-04-25,2029-07-25,CPTY6599,2,15,Level 2,No
HACKTRD0716,HackTradeID,2,IR Swaption,USD,Payer,92300000,2023-12-24,3.43,2025-04-18,2030-08-09,CPTY3741,1,20,Level 2,No
HACKTRD0918,HackTradeID,4,IR Swaption,EUR,Payer,58000000,2024-04-21,4.58,2025-12-15,2034-06-03,CPTY4443,3,20,Level 3,Yes
HACKTRD0454,HackTradeID,3,IR Swaption,EUR,Receiver,62000000,2024-07-14,2.7,2027-02-20,2033-02-11,CPTY9841,3,15,Level 3,Yes
HACKTRD0238,HackTradeID,2,IR Swaption,USD,Receiver,57700000,2023-10-02,0.71,2025-02-09,2028-10-01,CPTY7295,3,10,Level 3,No
HACKTRD0370,HackTradeID,2,IR Swaption,USD,Receiver,81800000,2025-01-18,2.52,2028-09-16,2045-02-01,CPTY4124,5,20,Level 3,No
HACKTRD0246,HackTradeID,1,IR Swaption,USD,Receiver,65300000,2024-09-15,1.11,2026-06-19,2042-08-22,CPTY2382,5,10,Level 3,No
HACKTRD0007,HackTradeID,3,IR Swaption,USD,Payer,34700000,2024-07-22,0.61,2029-12-14,2036-03-15,CPTY5887,2,30,Level 3,No
HACKTRD0083,HackTradeID,4,IR Swaption,USD,Receiver,41800000,2024-04-11,0.79,2027-05-02,2033-04-27,CPTY3914,5,20,Level 3,No
HACKTRD0032,HackTradeID,4,IR Swaption,USD,Receiver,46500000,2025-03-24,2.84,2027-04-03,2043-02-28,CPTY8186,5,5,Level 3,No
HACKTRD0153,HackTradeID,1,IR Swaption,USD,Payer,98700000,2024-11-29,2.06,2029-05-19,2055-01-26,CPTY1213,1,30,Level 3,No
HACKTRD0284,HackTradeID,3,IR Swaption,USD,Payer,83400000,2024-02-28,0.69,2029-04-12,2038-04-29,CPTY4808,2,30,Level 2,No
HACKTRD0588,HackTradeID,3,IR Swaption,USD,Receiver,50700000,2025-03-20,1.57,2024-12-22,2048-11-12,CPTY7219,1,10,Level 3,No
HACKTRD0431,HackTradeID,1,IR Swaption,USD,Receiver,35100000,2024-12-08,3.88,2027-04-28,2031-03-14,CPTY1695,2,20,Level 3,No
HACKTRD0872,HackTradeID,4,IR Swaption,EUR,Receiver,22200000,2023-10-22,4.05,2027-03-30,2039-09-24,CPTY6287,3,20,Level 3,No
HACKTRD0899,HackTradeID,2,IR Swaption,JPY,Payer,96900000,2023-10-31,2.87,2027-04-29,2029-05-13,CPTY4787,2,10,Level 2,No
HACKTRD0253,HackTradeID,1,IR Swaption,USD,Payer,84200000,2024-11-25,3.75,2030-03-07,2047-04-29,CPTY7274,2,30,Level 3,Yes
HACKTRD0964,HackTradeID,2,IR Swaption,USD,Receiver,7600000,2023-10-17,1.38,2029-04-27,2034-08-13,CPTY8925,2,10,Level 3,No
HACKTRD0169,HackTradeID,3,IR Swaption,USD,Payer,85700000,2025-04-12,1.89,2030-02-21,2028-09-14,CPTY1060,5,15,Level 2,No
HACKTRD0713,HackTradeID,1,IR Swaption,USD,Payer,92400000,2023-10-08,2.08,2026-09-07,2035-07-15,CPTY2016,5,10,Level 3,No
HACKTRD0735,HackTradeID,2,IR Swaption,USD,Payer,94100000,2024-10-21,2.88,2029-07-11,2032-08-25,CPTY6593,2,5,Level 3,No
HACKTRD0175,HackTradeID,3,IR Swaption,USD,Receiver,59100000,2023-07-06,1.15,2025-03-28,2031-07-23,CPTY8657,3,10,Level 3,No
HACKTRD0543,HackTradeID,3,IR Swaption,GBP,Receiver,21300000,2024-12-14,3.84,2026-04-29,2037-09-04,CPTY4211,1,15,Level 2,No
HACKTRD0397,HackTradeID,1,IR Swaption,USD,Receiver,92500000,2024-11-01,1.28,2028-05-14,2034-04-28,CPTY8758,2,10,Level 3,No
HACKTRD0194,HackTradeID,3,IR Swaption,USD,Payer,34700000,2023-07-09,1.74,2025-05-13,2034-06-23,CPTY1364,2,15,Level 3,No
HACKTRD0293,HackTradeID,2,IR Swaption,USD,Payer,83900000,2024-10-22,2.54,2027-07-18,2038-02-19,CPTY7304,2,20,Level 3,No
HACKTRD0494,HackTradeID,1,IR Swaption,USD,Payer,34900000,2024-03-03,2.15,2025-12-30,2049-10-22,CPTY9501,1,20,Level 3,No
HACKTRD0613,HackTradeID,3,IR Swaption,EUR,Payer,58200000,2024-06-27,1.52,2025-10-27,2028-10-11,CPTY4699,5,20,Level 3,Yes
HACKTRD0567,HackTradeID,4,IR Swaption,USD,Receiver,24200000,2023-07-10,3.65,2027-06-06,2040-05-26,CPTY9024,3,20,Level 3,Yes
HACKTRD0152,HackTradeID,4,IR Swaption,USD,Receiver,95000000,2024-01-30,2.51,2026-02-27,2041-01-15,CPTY7612,5,20,Level 3,No
HACKTRD0525,HackTradeID,1,IR Swaption,USD,Payer,32300000,2023-11-09,3.1,2030-01-17,2049-08-03,CPTY9275,3,10,Level 3,No
HACKTRD0064,HackTradeID,3,IR Swaption,USD,Receiver,32100000,2025-01-15,1.28,2027-09-16,2048-07-13,CPTY1663,3,5,Level 3,No
HACKTRD0181,HackTradeID,1,IR Swaption,USD,Payer,18600000,2023-08-13,0.85,2026-01-18,2029-06-19,CPTY7806,2,15,Level 2,No
HACKTRD0810,HackTradeID,1,IR Swaption,USD,Receiver,84500000,2024-12-28,0.86,2030-03-30,2036-11-02,CPTY2269,5,5,Level 3,No
HACKTRD0283,HackTradeID,4,IR Swaption,USD,Receiver,49300000,2025-02-04,1.85,2028-03-17,2041-05-06,CPTY5583,5,15,Level 3,No
HACKTRD0207,HackTradeID,1,IR Swaption,USD,Payer,96900000,2024-08-07,1.53,2028-10-12,2039-10-09,CPTY2290,2,10,Level 3,No
HACKTRD0272,HackTradeID,3,IR Swaption,USD,Receiver,62200000,2025-01-12,3.38,2028-09-09,2028-06-05,CPTY4610,1,15,Level 3,No
HACKTRD0569,HackTradeID,4,IR Swaption,USD,Receiver,55500000,2023-08-29,2.23,2028-10-23,2030-12-29,CPTY6276,5,5,Level 3,No
HACKTRD0140,HackTradeID,2,IR Swaption,JPY,Payer,96700000,2024-11-29,3.82,2027-12-23,2043-11-15,CPTY5363,5,5,Level 3,No
HACKTRD0246,HackTradeID,2,IR Swaption,USD,Payer,18900000,2024-01-31,3.14,2026-06-04,2029-05-31,CPTY2908,3,15,Level 3,Yes
HACKTRD0670,HackTradeID,2,IR Swaption,USD,Receiver,94700000,2023-09-29,2.03,2026-04-13,2051-05-10,CPTY6208,5,30,Level 2,No
HACKTRD0861,HackTradeID,1,IR Swaption,USD,Payer,95000000,2025-02-17,4.28,2025-12-12,2046-10-09,CPTY5078,5,15,Level 3,No
HACKTRD0690,HackTradeID,2,IR Swaption,USD,Payer,2400000,2024-02-27,2.89,2025-11-14,2030-05-28,CPTY3594,5,10,Level 2,No
HACKTRD0421,HackTradeID,2,IR Swaption,USD,Receiver,62900000,2024-02-29,0.74,2028-02-01,2036-06-08,CPTY6439,2,20,Level 3,No
HACKTRD0744,HackTradeID,1,IR Swaption,USD,Receiver,20500000,2024-01-28,1.16,2025-09-04,2036-12-01,CPTY9320,5,15,Level 3,No
HACKTRD0548,HackTradeID,1,IR Swaption,USD,Receiver,11600000,2024-06-07,3.55,2028-07-30,2053-08-16,CPTY9342,3,20,Level 3,Yes
HACKTRD0007,HackTradeID,2,IR Swaption,USD,Payer,37700000,2024-04-19,0.57,2029-10-04,2042-08-31,CPTY9006,5,20,Level 3,No
HACKTRD0209,HackTradeID,3,IR Swaption,USD,Payer,17800000,2023-09-20,1.27,2025-12-16,2043-10-07,CPTY7602,2,10,Level 3,No
HACKTRD0841,HackTradeID,1,IR Swaption,EUR,Receiver,97000000,2025-03-14,3.87,2029-10-29,2031-03-05,CPTY7468,1,10,Level 3,Yes
HACKTRD0174,HackTradeID,3,IR Swaption,USD,Receiver,66300000,2024-03-13,0.54,2028-09-03,2049-02-11,CPTY2762,3,20,Level 3,No
HACKTRD0764,HackTradeID,3,IR Swaption,USD,Receiver,67200000,2023-06-29,1.48,2027-07-15,2038-12-08,CPTY7681,1,20,Level 3,No
HACKTRD0234,HackTradeID,2,IR Swaption,USD,Payer,62700000,2023-07-06,0.59,2024-08-24,2037-10-22,CPTY7809,3,20,Level 2,No
HACKTRD0507,HackTradeID,1,IR Swaption,USD,Payer,35200000,2024-10-24,0.59,2029-06-14,2049-02-03,CPTY6793,3,30,Level 3,No
HACKTRD0194,HackTradeID,1,IR Swaption,USD,Receiver,61500000,2024-07-13,2.02,2024-12-31,2036-08-05,CPTY7949,2,15,Level 2,No
HACKTRD0691,HackTradeID,2,IR Swaption,USD,Payer,47000000,2024-08-24,2.61,2027-04-07,2038-12-09,CPTY1129,2,15,Level 3,No
HACKTRD0385,HackTradeID,1,IR Swaption,USD,Payer,1500000,2024-07-31,0.91,2029-05-24,2028-07-13,CPTY4456,2,10,Level 3,No
HACKTRD0736,HackTradeID,4,IR Swaption,EUR,Receiver,72300000,2024-09-22,3.84,2027-09-28,2041-04-21,CPTY8837,3,5,Level 3,No
HACKTRD0790,HackTradeID,2,IR Swaption,EUR,Receiver,5900000,2023-07-25,3.6,2025-03-24,2042-06-13,CPTY8542,5,20,Level 3,No
HACKTRD0690,HackTradeID,3,IR Swaption,EUR,Receiver,48500000,2023-08-07,2.04,2024-07-10,2046-09-12,CPTY9092,1,5,Level 3,No
HACKTRD0617,HackTradeID,2,IR Swaption,USD,Payer,49800000,2025-02-10,3.32,2029-09-10,2037-08-28,CPTY6074,5,20,Level 3,No
HACKTRD0972,HackTradeID,1,IR Swaption,EUR,Receiver,90700000,2023-09-06,3.59,2024-09-12,2051-11-10,CPTY5631,3,20,Level 3,No
HACKTRD0509,HackTradeID,1,IR Swaption,USD,Payer,28800000,2023-08-19,3.01,2028-07-06,2049-11-04,CPTY1917,2,5,Level 3,No
HACKTRD0019,HackTradeID,3,IR Swaption,USD,Receiver,38100000,2024-08-31,0.9,2027-10-07,2032-08-05,CPTY8509,2,5,Level 3,No
HACKTRD0320,HackTradeID,4,IR Swaption,USD,Receiver,4000000,2024-02-01,1.55,2028-11-22,2035-07-15,CPTY7172,1,30,Level 2,No
HACKTRD0493,HackTradeID,4,IR Swaption,USD,Receiver,86700000,2023-12-14,0.8,2029-02-06,2049-06-27,CPTY9988,5,30,Level 3,No
HACKTRD0558,HackTradeID,2,IR Swaption,USD,Payer,50600000,2024-11-23,1.13,2029-05-02,2036-05-14,CPTY2138,5,30,Level 3,Yes
HACKTRD0076,HackTradeID,3,IR Swaption,USD,Payer,23700000,2023-07-17,0.57,2029-09-11,2035-06-30,CPTY3744,2,10,Level 3,No
HACKTRD0669,HackTradeID,3,IR Swaption,EUR,Payer,45100000,2023-12-02,2.45,2026-04-05,2053-10-04,CPTY4687,1,10,Level 3,No
HACKTRD0553,HackTradeID,1,IR Swaption,USD,Payer,17300000,2023-10-09,3.3,2026-07-26,2028-09-08,CPTY7644,2,30,Level 2,No
HACKTRD0574,HackTradeID,3,IR Swaption,USD,Payer,57700000,2024-05-31,1.02,2029-04-16,2044-12-29,CPTY6776,5,5,Level 3,Yes
HACKTRD0140,HackTradeID,3,IR Swaption,USD,Receiver,34300000,2023-07-05,2.57,2026-10-08,2028-06-20,CPTY1717,5,20,Level 2,No
HACKTRD0582,HackTradeID,2,IR Swaption,USD,Receiver,64100000,2024-04-17,2.38,2026-04-02,2048-03-12,CPTY2690,1,15,Level 3,No
HACKTRD0877,HackTradeID,2,IR Swaption,USD,Receiver,64700000,2024-12-07,1.85,2027-12-12,2040-10-04,CPTY4140,5,20,Level 3,No
HACKTRD0776,HackTradeID,3,IR Swaption,USD,Receiver,68600000,2023-08-05,2.82,2028-05-23,2034-07-25,CPTY2690,5,10,Level 3,Yes
HACKTRD0483,HackTradeID,2,IR Swaption,USD,Payer,67400000,2025-04-15,0.6,2029-01-10,2038-03-21,CPTY7091,5,15,Level 3,No
HACKTRD0097,HackTradeID,3,IR Swaption,USD,Receiver,51700000,2023-08-14,2.65,2025-05-13,2028-12-13,CPTY4490,1,10,Level 3,No
HACKTRD0491,HackTradeID,3,IR Swaption,USD,Payer,56800000,2024-08-28,4.92,2028-08-13,2054-10-29,CPTY7593,5,30,Level 3,No
HACKTRD0661,HackTradeID,1,IR Swaption,USD,Payer,11600000,2024-10-30,2.9,2028-07-29,2052-12-27,CPTY5009,3,20,Level 3,No
HACKTRD0527,HackTradeID,4,IR Swaption,USD,Receiver,92500000,2024-04-11,1.12,2028-02-16,2047-04-11,CPTY7115,3,20,Level 3,No
HACKTRD0343,HackTradeID,1,IR Swaption,USD,Payer,7100000,2024-03-23,1.47,2027-12-29,2042-06-08,CPTY1264,2,30,Level 3,No
HACKTRD0626,HackTradeID,2,IR Swaption,USD,Payer,45100000,2023-07-18,2.59,2024-07-03,2038-02-11,CPTY7068,5,15,Level 3,No
HACKTRD0416,HackTradeID,4,IR Swaption,EUR,Receiver,41600000,2024-04-24,1.45,2027-10-21,2039-12-22,CPTY6776,5,20,Level 3,No
HACKTRD0474,HackTradeID,1,IR Swaption,USD,Receiver,8200000,2023-11-23,1.99,2028-07-30,2048-03-02,CPTY3007,2,30,Level 3,No
HACKTRD0436,HackTradeID,2,IR Swaption,USD,Receiver,54300000,2024-05-14,0.7,2026-05-20,2050-05-30,CPTY3096,5,20,Level 3,No
HACKTRD0813,HackTradeID,3,IR Swaption,USD,Receiver,41000000,2023-10-29,2.38,2027-06-22,2052-10-23,CPTY3653,5,30,Level 3,No
HACKTRD0883,HackTradeID,1,IR Swaption,GBP,Receiver,56000000,2023-06-22,3.4,2027-12-04,2028-09-24,CPTY9388,1,20,Level 3,No
HACKTRD0235,HackTradeID,2,IR Swaption,JPY,Receiver,50400000,2024-11-29,2.28,2028-06-05,2055-04-24,CPTY1140,5,20,Level 3,No
HACKTRD0429,HackTradeID,3,IR Swaption,USD,Payer,78800000,2024-07-27,1.01,2029-10-14,2054-07-17,CPTY5203,5,5,Level 3,No
HACKTRD0660,HackTradeID,2,IR Swaption,EUR,Receiver,53300000,2023-12-01,1.0,2024-09-14,2050-11-18,CPTY9533,5,15,Level 3,No
HACKTRD0078,HackTradeID,3,IR Swaption,USD,Payer,78800000,2024-11-09,0.94,2029-09-23,2044-08-18,CPTY5491,2,5,Level 3,No
HACKTRD0448,HackTradeID,1,IR Swaption,USD,Receiver,24700000,2023-07-27,0.76,2026-03-09,2040-04-13,CPTY6154,5,30,Level 3,No
HACKTRD0399,HackTradeID,1,IR Swaption,USD,Payer,5700000,2024-07-02,1.99,2028-12-18,2038-10-24,CPTY3096,3,10,Level 3,No
HACKTRD0581,HackTradeID,1,IR Swaption,USD,Payer,81000000,2024-09-21,1.69,2026-03-29,2031-10-03,CPTY9182,5,15,Level 2,No
HACKTRD0324,HackTradeID,2,IR Swaption,USD,Receiver,9700000,2024-05-10,0.6,2026-09-30,2045-05-15,CPTY7488,2,30,Level 2,No
HACKTRD0560,HackTradeID,1,IR Swaption,GBP,Receiver,15800000,2025-05-03,2.14,2029-03-05,2051-05-12,CPTY8263,5,30,Level 3,No
HACKTRD0020,HackTradeID,1,IR Swaption,USD,Receiver,24900000,2024-11-30,0.66,2026-06-19,2030-09-26,CPTY3950,5,10,Level 3,No
